Well,well,0.07,0.36
the,the,0.48,0.61
years,years,0.61,0.83
start,start,0.84,1.14
coming,coming,1.17,1.5299999999999998
and,and,1.53,1.6600000000000001
they,they,1.66,1.75
don't,don't,1.75,1.96
stop,stop,1.97,2.3
coming,coming,2.3,2.65
Fed,fed,2.88,3.16
to,to,3.17,3.33
the,the,3.33,3.46
rules,rules,3.46,3.82
and,and,3.82,3.9499999999999997
I,i,3.95,4.05
hit,hit,4.05,4.21
the,the,4.21,4.3
ground,ground,4.3,4.64
running,running,4.64,5.0
Didn't,didn't,5.21,5.51
make,make,5.51,5.75
sense,sense,5.76,6.109999999999999
not,not,6.11,6.2700000000000005
to,to,6.27,6.359999999999999
live,live,6.36,6.590000000000001
for,for,6.6,6.869999999999999
fun,fun,6.87,7.23
Your,your,7.38,7.52
brain,brain,7.52,7.789999999999999
gets,gets,7.81,8.02
smart,smart,8.02,8.37
but,but,8.37,8.53
your,your,8.53,8.66
head,head,8.66,8.89
gets,gets,8.9,9.21
dumb,dumb,9.21,9.59
